name,position,team,rank,total,games_played,goals,assists,power_play_points,shots,face_off_wins,hits,blocked_shots,goals_score,assists_score,power_play_points_score,shots_score,face_off_wins_score,hits_score,blocked_shots_score
Cole Caufield,RW,MTL,96.0,485.8698593425007,81,51,37,29,258,6,50,21,99.86257502848844,88.87490223173211,98.22595570593148,98.84509731422015,40.50640791579477,39.33319563562438,20.22172551070934
Kirill Kaprizov,LW,MIN,97.0,485.8184857414889,78,45,44,32,268,0,52,27,99.61781978373318,94.69793955016425,99.04772653249628,99.21950308439907,24.041903142373393,40.93756092407868,28.25603272424404
Brandon Hagel,LW,TBL,98.0,484.83450495000056,71,36,38,12,214,26,42,38,98.19163984579961,90.00514408143225,75.75959066531678,95.7410444521877,49.308921080880864,32.84184152058636,42.986323303797064
Jordan Staal,C,CAR,99.0,484.0892344015647,75,20,16,4,107,839,166,48,81.62171828826857,47.40630752398394,48.79596349852645,57.8265584980728,99.86257502848844,93.9998368389247,54.57627472529981
Boone Jenner,C,CBJ,100.0,483.62555722713125,67,13,25,3,132,200,147,66,61.83892749130281,69.56431731570507,44.738339137400445,70.92918158593665,75.71092714254013,90.23950382842102,70.6043607258251
Eeli Tolvanen,RW,SEA,101.0,481.77955779454163,78,12,24,14,141,0,187,81,57.777336955565886,67.28723918606975,80.9411014556513,75.10516062354813,24.041903142373393,96.72657962531346,79.90023680601978
Nikita Kucherov,RW,TBL,102.0,480.1191467047489,76,44,86,37,231,0,36,29,99.44299460890801,99.86257502848844,99.58285474876814,97.9319436953107,24.041903142373393,28.192401601840075,31.064473879060195
Jesper Bratt,W,NJD,103.0,480.09346067164915,82,22,49,20,178,3,74,24,85.65331399337745,96.69975757348448,91.1714957573443,89.1497482162221,36.80096727311988,56.362044859713954,24.256132998386995
Ivan Barbashev,C,VEG,104.0,480.069572608205,82,23,38,6,133,13,137,37,87.4734690714837,90.00514408143225,56.69451573922796,71.45795919172684,45.2217703719928,87.42944145279706,41.787272699544445
Christian Dvorak,C,PHI,105.0,479.74341818792385,80,18,33,5,151,629,38,52,76.73854944453555,84.01841374023245,52.70822592492259,79.45878047842623,98.26707582425513,29.82267689121543,58.72969588433643
Beckett Sennecke,F,ANA,106.0,479.38303931246384,82,23,37,13,197,3,97,24,87.4734690714837,88.87490223173211,78.43642772892261,93.21529207857411,36.80096727311988,70.32584793024449,24.256132998386995
Mikko Rantanen,RW,DAL,107.0,479.19593070777336,64,22,55,34,139,37,48,30,85.65331399337745,98.36485109068632,99.40802957394297,74.12220411818102,51.83216783619946,37.353645859783654,32.46171823560251
Claude Giroux,C,OTT,108.0,478.3779914517295,82,14,35,13,138,504,65,27,65.30580118060058,86.59279528919484,78.43642772892261,73.64403140994534,95.63070039606083,50.51220272276123,28.25603272424404
Jordan Eberle,RW,SEA,109.0,477.91700629758896,80,26,29,16,168,12,55,43,91.8393299186974,77.329579146598,85.05724001851257,86.07336256922238,44.77718736259875,43.482597600364954,49.35770968159492
Mikhail Sergachev,D,UTA,110.0,476.4865507961355,78,10,49,26,159,0,38,125,50.848509202140406,96.69975757348448,96.8067207004496,82.60539949963726,24.041903142373393,29.82267689121543,95.66158378683494
Fraser Minten,C,BOS,111.0,474.52292297216593,82,17,18,3,117,414,142,51,74.06453495037249,52.83145203178897,44.738339137400445,63.4755002344441,92.77198377618726,89.07236100016779,57.56875184180492
Clayton Keller,C,UTA,112.0,473.1548549258604,82,26,62,27,225,13,8,32,91.8393299186974,99.07975181570379,97.30706896600822,97.15199373263764,45.2217703719928,7.348745805642949,35.20619431517751
Dougie Hamilton,D,NJD,113.0,472.90148360754995,77,12,27,14,202,0,87,77,57.777336955565886,73.86719348802004,80.9411014556513,94.00158267350113,24.041903142373393,64.95118461518729,77.32118127725093
Roman Josi,D,NSH,114.0,472.58326320813796,68,13,42,24,181,0,24,101,61.83892749130281,93.47205804640308,95.57408086065158,89.99173962117563,24.041903142373393,17.794991634782434,89.86956241144907
Rasmus Andersson,D,2TM,115.0,472.36377674244085,81,17,30,13,178,0,37,149,74.06453495037249,79.14376649880474,78.43642772892261,89.1497482162221,24.041903142373393,29.00589324820026,98.52150295754528
Mark Stone,RW,VEG,116.0,472.15962951117035,60,28,45,27,130,4,31,47,93.86545683796453,95.30709870987829,97.30706896600822,69.6196522002783,38.53702435927084,24.036248433210076,53.48708000456006
Lucas Raymond,LW,DET,117.0,471.6561736632743,80,25,51,27,173,1,43,29,90.63105642626348,97.54455255533324,97.30706896600822,87.58073308959234,34.06389429134738,33.464394455669435,31.064473879060195
